1@s.s@draw@s.s@Draw
2@s.s@minus@s.s@-
3@s.s@one@s.s@1
4@s.s@over@s.s@Over
5@s.s@plus@s.s@+
6@s.s@two@s.s@2
7@s.s@under@s.s@Under
8@s.s@x@s.s@X
9@s.s@empate@s.s@Empate
10@s.s@o@s.s@o
11@s.s@or@s.s@or
12@s.s@sí@s.s@Sí
13@s.s@no@s.s@No
14@s.s@yes@s.s@Yes
15@s.s@más@s.s@Más
16@s.s@menos@s.s@Menos
17@s.s@impar@s.s@Impar
18@s.s@par@s.s@Par
19@s.s@odd@s.s@Odd
20@s.s@even@s.s@Even
21@s.s@home@s.s@Home
22@s.s@away@s.s@Away
23@s.s@none@s.s@None
24@s.s@three@s.s@3
25@s.s@four@s.s@4
26@s.s@decision_or_technical_decision@s.s@Decision or Technical Decision
27@s.s@ko_tko_or_disqualification@s.s@KO, TKO or Disqualification
28@s.s@draw_or_technical_draw@s.s@Draw or Technical Draw
29@s.s@points@s.s@Points
30@s.s@ko_tko_disqualification_or_technical_decision@s.s@KO, TKO, DQ or Technical Decision
31@s.s@ko_tko_disqualification_or_resign@s.s@KO, TKO, DQ or Resignation
32@s.s@ko@s.s@KO
33@s.s@by_submission@s.s@By submission
34@s.s@points_or_decision@s.s@By points or decision
