36@s.s@1st half result@s.s@1st half winner@s.s@2@s.s@Basketball@s.s@1254445@s.s@1st Half - Winner
77@s.s@1st set total@s.s@1st set total@s.s@6@s.s@Tennis@s.s@1254471@s.s@First Set Total
107@s.s@Correct score@s.s@Correct score@s.s@14@s.s@E-Sports@s.s@1254493@s.s@ Correct Set Score (Best Of 3)
80@s.s@2nd set winner@s.s@2nd set winner@s.s@6@s.s@Tennis@s.s@1254477@s.s@2nd Set Winner
169@s.s@1st half points@s.s@1st half points@s.s@2@s.s@Basketball@s.s@1254447@s.s@1st Half - Over/Under
26@s.s@1st half points odd/even@s.s@1st half points odd/even@s.s@2@s.s@Basketball@s.s@1254448@s.s@1st half - Odd / Even points
33@s.s@2nd quarter winner@s.s@2nd quarter winner@s.s@2@s.s@Basketball@s.s@1254449@s.s@2nd Quarter - 1X2
60@s.s@3-way@s.s@Winner@s.s@4@s.s@Rugby Union@s.s@1254501@s.s@1X2
34@s.s@3rd quarter winner@s.s@3rd quarter winner@s.s@2@s.s@Basketball@s.s@1254450@s.s@3rd Quarter - 1X2
35@s.s@4th quarter winner@s.s@4th quarter winner@s.s@2@s.s@Basketball@s.s@1254451@s.s@4th Quarter - 1X2
72@s.s@Winner@s.s@Winner@s.s@6@s.s@Tennis@s.s@1254472@s.s@Winner (Sidebet)
39@s.s@Winner 2 way@s.s@Winner@s.s@2@s.s@Basketball@s.s@1254440@s.s@2 way – ( Incl.OT )
41@s.s@total spreads over/under@s.s@Total points over/under@s.s@2@s.s@Basketball@s.s@1254442@s.s@Over / Under ( Incl.OT )
11@s.s@To qualify (Knock-out stage)@s.s@To qualify (Knock-out stage)@s.s@1@s.s@Football@s.s@1162601@s.s@To Qualify
185@s.s@2nd Quarter Draw No Bet@s.s@2nd Quarter Draw No Bet@s.s@2@s.s@Basketball@s.s@1254452@s.s@2nd Quarter - Draw no bet
22@s.s@Overtime yes or no@s.s@Overtime - yes/no@s.s@1@s.s@Football@s.s@1162605@s.s@Overtime - Yes / No
84@s.s@Total number of sets@s.s@Total number of sets@s.s@6@s.s@Tennis@s.s@1254478@s.s@Total Number of Sets (best of 3)
186@s.s@3rd Quarter Draw No Bet@s.s@3rd Quarter Draw No Bet@s.s@2@s.s@Basketball@s.s@1254453@s.s@3rd Quarter - Draw No Bet
187@s.s@4th Quarter Draw No Bet@s.s@4th Quarter Draw No Bet@s.s@2@s.s@Basketball@s.s@1254454@s.s@4th Quarter - Draw No Bet
30@s.s@3rd quarter odd/even@s.s@3rd quarter odd/even@s.s@2@s.s@Basketball@s.s@1254458@s.s@3rd Quarter – Odd / Even Points
31@s.s@4th quarter odd/even@s.s@4th quarter odd/even@s.s@2@s.s@Basketball@s.s@1254459@s.s@4th Quarter – Odd / Even Points
3@s.s@2-way@s.s@Draw no bet@s.s@1@s.s@Football@s.s@1162470@s.s@Draw No Bet
172@s.s@Result - Halftime and Full time@s.s@Result - Halftime and Full time@s.s@2@s.s@Basketball@s.s@1254463@s.s@Halftime / Fulltime
40@s.s@Total points odd/even@s.s@Total points odd/even@s.s@2@s.s@Basketball@s.s@1254464@s.s@Odd / Even points
1@s.s@Correct score@s.s@Correct score@s.s@1@s.s@Football@s.s@1162472@s.s@Correct Score
14@s.s@Asian Handicap@s.s@Asian Handicap@s.s@1@s.s@Football@s.s@1162473@s.s@Asian Handicap Main Line
171@s.s@Overtime@s.s@Overtime@s.s@2@s.s@Basketball@s.s@1254466@s.s@Overtime - Yes / No
21@s.s@Double bet chance@s.s@Double bet chance@s.s@1@s.s@Football@s.s@1162469@s.s@Double Chance
102@s.s@Match winner@s.s@Match winner@s.s@14@s.s@E-Sports@s.s@1254483@s.s@2-way
102@s.s@Match winner@s.s@Match winner@s.s@14@s.s@E-Sports@s.s@1254484@s.s@2-way
20@s.s@Odd or even number of total goals@s.s@Total goals - odd/even@s.s@1@s.s@Football@s.s@1162474@s.s@Odd / Even goales
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@1162475@s.s@Handicap
166@s.s@2nd Quarter Points@s.s@2nd Quarter Points@s.s@2@s.s@Basketball@s.s@1254460@s.s@2nd Quarter - Over/Under
6@s.s@Halftime + Full time result@s.s@Result - Halftime and Full time@s.s@1@s.s@Football@s.s@1162479@s.s@Halftime / Fulltime
167@s.s@3rd Quarter Points@s.s@3rd Quarter Points@s.s@2@s.s@Basketball@s.s@1254461@s.s@3rd Quarter - Over/Under
10@s.s@Both teams to score@s.s@Both teams to score@s.s@1@s.s@Football@s.s@1162480@s.s@Both Teams to Score
18@s.s@First team to score@s.s@1st team to score@s.s@1@s.s@Football@s.s@1162481@s.s@First Team To Score
19@s.s@Last team to score@s.s@Last team to score@s.s@1@s.s@Football@s.s@1162482@s.s@Last Team To Score
9@s.s@Total number of goals@s.s@Total number of goals@s.s@1@s.s@Football@s.s@1162483@s.s@Exact Number of Goals
168@s.s@4th Quarter Points@s.s@4th Quarter Points@s.s@2@s.s@Basketball@s.s@1254462@s.s@4th Quarter - Over/Under
8@s.s@Away team goals@s.s@Away team goals@s.s@1@s.s@Football@s.s@1162486@s.s@Totals away team
7@s.s@Home team goals@s.s@Home team goals@s.s@1@s.s@Football@s.s@1162487@s.s@Totals home team
196@s.s@Match Winner@s.s@Match Winner@s.s@44@s.s@Baseball@s.s@1254437@s.s@Moneyline
2@s.s@3-way@s.s@Winner@s.s@1@s.s@Football@s.s@1162575@s.s@ThreeWay
