147@s.s@Winner@s.s@Winner@s.s@38@s.s@Handball@s.s@704780@s.s@Match Winner - Match winner
95@s.s@First round leader@s.s@First round leader@s.s@10@s.s@Golf@s.s@702314@s.s@1st Round - 1st Round
195@s.s@Winner@s.s@Winner@s.s@37@s.s@TV & Politics@s.s@702343@s.s@Winner - Winner
100@s.s@Race winner (pilot)@s.s@Race winner@s.s@12@s.s@Formula 1@s.s@704913@s.s@Winner - Race Winning Driver
205@s.s@Division Winner@s.s@Division Winner@s.s@44@s.s@Baseball@s.s@1199966@s.s@Winner - AL West Champion
20@s.s@Odd or even number of total goals@s.s@Total goals - odd/even@s.s@1@s.s@Football@s.s@702388@s.s@Goals - Number of goals – Odd/Even
8@s.s@Away team goals@s.s@Away team goals@s.s@1@s.s@Football@s.s@702404@s.s@Goals - Away Team Goals
20@s.s@Odd or even number of total goals@s.s@Total goals - odd/even@s.s@1@s.s@Football@s.s@893603@s.s@Goals - Total Goals Odd/Even
9@s.s@Total number of goals@s.s@Total number of goals@s.s@1@s.s@Football@s.s@704544@s.s@Goals - Exact Number of Goals
7@s.s@Home team goals@s.s@Home team goals@s.s@1@s.s@Football@s.s@702403@s.s@Goals - Home Team Goals
102@s.s@Match winner@s.s@Match winner@s.s@14@s.s@E-Sports@s.s@712075@s.s@Match Winner (Including OT) - Match Winner (Including OT)
9@s.s@Total number of goals@s.s@Total number of goals@s.s@1@s.s@Football@s.s@702402@s.s@Goals - Total goals
14@s.s@Asian Handicap@s.s@Asian Handicap@s.s@1@s.s@Football@s.s@702417@s.s@Handicap - Asian Handicap
98@s.s@Outright winner (pilot)@s.s@Outright winner@s.s@12@s.s@Formula 1@s.s@704921@s.s@Winner - Winner
16@s.s@Championship outright@s.s@Championship outright@s.s@1@s.s@Football@s.s@1192989@s.s@To Win The Trophy - To Win the Trophy
5@s.s@First half result@s.s@1st half result@s.s@1@s.s@Football@s.s@702396@s.s@Half - Halftime result
36@s.s@1st half result@s.s@1st half winner@s.s@2@s.s@Basketball@s.s@702327@s.s@1st Half - 1st Half Winner
205@s.s@Division Winner@s.s@Division Winner@s.s@44@s.s@Baseball@s.s@1199968@s.s@Winner - NL East Champion
39@s.s@Winner 2 way@s.s@Winner@s.s@2@s.s@Basketball@s.s@702321@s.s@Match Winner - Match Winner (inc. OT)
42@s.s@Point spread (handicap)@s.s@Handicap@s.s@2@s.s@Basketball@s.s@702323@s.s@Handicap - Point Spread (Inc. OT)
207@s.s@Correct score@s.s@Correct score@s.s@44@s.s@Baseball@s.s@704270@s.s@Correct Score - Correct Score
19@s.s@Last team to score@s.s@Last team to score@s.s@1@s.s@Football@s.s@702469@s.s@Goals - Team to score last goal
16@s.s@Championship outright@s.s@Championship outright@s.s@1@s.s@Football@s.s@702513@s.s@Outrights - Winner
13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@702389@s.s@Handicap - Handicap
107@s.s@Correct score@s.s@Correct score@s.s@14@s.s@E-Sports@s.s@703926@s.s@Correct Score - Live Correct Score (BO2)
55@s.s@Total points@s.s@Total points@s.s@5@s.s@Rugby League@s.s@1255792@s.s@Total Points - Total Points
2@s.s@3-way@s.s@Winner@s.s@1@s.s@Football@s.s@702505@s.s@Match - Match Winner
