549@s.s@Esports@s.s@992692@s.s@More Markets - Game 1 Handicap +28.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@828281@s.s@Team to score - Game 1 Team To Score Goal 1@s.s@0@s.s@["1","2","Neither"]
549@s.s@Esports@s.s@68378198@s.s@More Markets - Game 1 Handicap -50.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339846@s.s@Map 1 - Map 1 - Round Handicap@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@80480801@s.s@Map 2 - Map 2 Total Kills Scored Over/Under@s.s@0@s.s@["Over 25.5","Under 25.5"]
549@s.s@Esports@s.s@703975@s.s@Inhibitor Markets - Map 2 - Team to Destroy Next Inhibitor: 1@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339845@s.s@Kills Markets - Map 2 Race To 10 Kills@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1169529@s.s@More Markets - Game 1 Handicap -44.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339844@s.s@Kills Markets - Map 2 Race To 15 Kills@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339842@s.s@Kills Markets - Map 2 Team to Score the First Kill@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339836@s.s@Roshan Markets - Map 2 - Team to Slay First Roshan@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339835@s.s@Roshan Markets - Map 1 - Team to Slay First Roshan@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339841@s.s@Kills Markets - Map 1 Race To 5 Kills@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339936@s.s@Kills Markets - Map 1 Team To Score Most Kills HCP@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339935@s.s@Kills Markets - Map 1 Team to Draw First Blood@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339932@s.s@Roshan Markets - Map 1 - Team to Slay First Baron@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339833@s.s@Tower Markets - Map 1 Team to Destroy the First Tower@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339928@s.s@Inhibitor Markets - Map 1 Both Teams To Destroy Inhibitor@s.s@0@s.s@["Yes","No"]
549@s.s@Esports@s.s@58339923@s.s@Dragon Markets - Map 1 Both Teams To Slay Dragon@s.s@0@s.s@["Yes","No"]
549@s.s@Esports@s.s@58339924@s.s@Dragon Markets - Map 1 Both Teams To Slay Baron@s.s@0@s.s@["Yes","No"]
549@s.s@Esports@s.s@58339830@s.s@More Markets - Map 1 Team to Score the Most Kills@s.s@0@s.s@["1","X","2"]
549@s.s@Esports@s.s@80480803@s.s@Barons - Map 1 Total Barons Slain Over Under@s.s@0@s.s@["Over 1.5","Under 1.5"]
549@s.s@Esports@s.s@80480800@s.s@Dragons - Map 1 Total Dragons Slain Over Under@s.s@0@s.s@["Over 4.5","Under 4.5"]
549@s.s@Esports@s.s@80553160@s.s@Map 1 - Map 1 Total Towers Destroyed Over/Under@s.s@0@s.s@["Over 11.5","Under 11.5"]
549@s.s@Esports@s.s@80480799@s.s@Map 1 - Map 1 Total Kills Scored Over/Under@s.s@0@s.s@["Over 20.5","Under 20.5"]
549@s.s@Esports@s.s@994182@s.s@More Markets - Game 1 Handicap -34.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@828782@s.s@Team to score - Game 1 Team To Score Goal 6@s.s@0@s.s@["1","2","Neither"]
549@s.s@Esports@s.s@705070@s.s@Kills Markets - Map 2 - Team to Score Next Kill: 1@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@992662@s.s@More Markets - Game 1 Handicap +17.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@702172@s.s@Rounds - Live Map 2 Total Number Of Rounds@s.s@0@s.s@["Over 26.5","Under 26.5"]
549@s.s@Esports@s.s@702175@s.s@Round Markets - Map 2 - Round Handicap@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@980954@s.s@More Markets - Game 1 Handicap -25.5@s.s@0@s.s@["1","2"]
