1493@s.s@Badminton@s.s@0
1482@s.s@Tennis@s.s@0
1486@s.s@Baseball@s.s@0
1537@s.s@MMA@s.s@0
1488@s.s@Ice Hockey@s.s@0
1484@s.s@Boxing@s.s@0
1489@s.s@Handball@s.s@0
1485@s.s@Basketball@s.s@0
1490@s.s@Volleyball@s.s@0
1635@s.s@Waterpolo@s.s@1
1487@s.s@Golf@s.s@0
1511@s.s@Rugby@s.s@0
1481@s.s@Soccer@s.s@0
1556@s.s@Soccer Specials@s.s@0
1535@s.s@Aussie rules@s.s@1
1483@s.s@Darts@s.s@0
1590@s.s@Cricket@s.s@1
1538@s.s@Field hockey@s.s@1
1815@s.s@Beach volley@s.s@0
1492@s.s@Table Tennis@s.s@0
1575@s.s@Cycling@s.s@0
1491@s.s@Futsal@s.s@0
1551@s.s@Bowls@s.s@1
1508@s.s@Football@s.s@0
1570@s.s@Snooker@s.s@1
1495@s.s@Specials@s.s@0
1494@s.s@E-Sports@s.s@0
