450@s.s@Tennis@s.s@0
443@s.s@Golf@s.s@0
442@s.s@Handball@s.s@0
455@s.s@Rugby League@s.s@0
439@s.s@Table Tennis@s.s@0
441@s.s@MMA@s.s@0
440@s.s@Rugby Union@s.s@0
446@s.s@Specials@s.s@0
456@s.s@Baseball@s.s@0
435@s.s@Ice Hockey@s.s@0
533@s.s@Badminton@s.s@0
451@s.s@Cycling@s.s@0
500@s.s@Other Sports@s.s@0
509@s.s@Floorball@s.s@1
507@s.s@Kickboxing@s.s@0
488@s.s@Basketball 3x3@s.s@1
499@s.s@Netball@s.s@1
438@s.s@Cricket@s.s@1
449@s.s@Snooker@s.s@1
452@s.s@Darts@s.s@1
453@s.s@Sumo@s.s@1
448@s.s@Basketball@s.s@0
457@s.s@Aussie Rules@s.s@1
458@s.s@Volleyball@s.s@1
459@s.s@Gaelic Football@s.s@1
460@s.s@Bowls@s.s@1
492@s.s@Water Polo@s.s@1
445@s.s@American Football@s.s@0
493@s.s@Bandy@s.s@1
437@s.s@Boxing@s.s@0
444@s.s@Hurling@s.s@1
433@s.s@Football@s.s@0
447@s.s@Chess@s.s@1
454@s.s@Futsal@s.s@0
