3018@s.s@Catherine McNally@s.s@6@s.s@Tennis@s.s@323995@s.s@Caty McNally
472@s.s@Casper Ruud@s.s@6@s.s@Tennis@s.s@323952@s.s@Casper Ruud
2948@s.s@Caroline Garcia@s.s@6@s.s@Tennis@s.s@323915@s.s@Caroline Garcia
3005@s.s@Camila Giorgi@s.s@6@s.s@Tennis@s.s@323967@s.s@Camila Giorgi
479@s.s@Cameron Norrie@s.s@6@s.s@Tennis@s.s@323993@s.s@Cameron Norrie
463@s.s@Borna Coric@s.s@6@s.s@Tennis@s.s@323934@s.s@Borna Coric
1804@s.s@Bernard Tomic@s.s@6@s.s@Tennis@s.s@323958@s.s@Bernard Tomic
2914@s.s@Aryna Sabalenka@s.s@6@s.s@Tennis@s.s@323960@s.s@Aryna Sabalenka
2960@s.s@Anna Blinkova@s.s@6@s.s@Tennis@s.s@323997@s.s@Anna Blinkova
2931@s.s@Anett Kontaveit@s.s@6@s.s@Tennis@s.s@323914@s.s@Anett Kontaveit
500@s.s@Andy Murray@s.s@6@s.s@Tennis@s.s@323926@s.s@Andy Murray
470@s.s@Andrey Rublev@s.s@6@s.s@Tennis@s.s@323982@s.s@Andrey Rublev
2992@s.s@Anastasia Potapova@s.s@6@s.s@Tennis@s.s@323998@s.s@Anastasia Potapova
2933@s.s@Anastasia Pavlyuchenkova@s.s@6@s.s@Tennis@s.s@323996@s.s@Anastasia Pavlyuchenkova
2962@s.s@Alizé Cornet@s.s@6@s.s@Tennis@s.s@323974@s.s@Alize Cornet
2921@s.s@Alison Riske@s.s@6@s.s@Tennis@s.s@323961@s.s@Alison Riske
442@s.s@Alexander Zverev@s.s@6@s.s@Tennis@s.s@323928@s.s@Alexander Zverev
8691@s.s@Gilbert Burns@s.s@29@s.s@MMA-UFC@s.s@324065@s.s@Gilbert Burns
9024@s.s@Tim Tszyu@s.s@7@s.s@Boxing@s.s@324026@s.s@Tim Tszyu
8810@s.s@Tyson Fury@s.s@7@s.s@Boxing@s.s@324012@s.s@Tyson Fury
8692@s.s@Vicente Luque@s.s@29@s.s@MMA-UFC@s.s@324058@s.s@Vicente Luque
8905@s.s@Shakur Stevenson@s.s@7@s.s@Boxing@s.s@324027@s.s@Shakur  Stevenson
8683@s.s@Leon Edwards@s.s@29@s.s@MMA-UFC@s.s@324073@s.s@Leon Edwards
8858@s.s@Kubrat Pulev@s.s@7@s.s@Boxing@s.s@324029@s.s@Kubrat Pulev
8857@s.s@Luke Campbell@s.s@7@s.s@Boxing@s.s@324050@s.s@Luke Campbell
8856@s.s@Maurice Hooker@s.s@7@s.s@Boxing@s.s@324053@s.s@Maurice Hooker
8804@s.s@Mairis Briedis@s.s@7@s.s@Boxing@s.s@324044@s.s@Mairis Briedis
9149@s.s@Michael Conlan@s.s@7@s.s@Boxing@s.s@324017@s.s@Michael Conlan
9529@s.s@Miguel Marriaga@s.s@7@s.s@Boxing@s.s@324028@s.s@Miguel Marriaga
8795@s.s@Naoya Inoue@s.s@7@s.s@Boxing@s.s@324040@s.s@Naoya Inoue
8819@s.s@Regis Prograis@s.s@7@s.s@Boxing@s.s@324052@s.s@Regis Prograis
8881@s.s@Jamel Herring@s.s@7@s.s@Boxing@s.s@324006@s.s@Jamel Herring
9124@s.s@James Kirkland@s.s@7@s.s@Boxing@s.s@324054@s.s@James Kirkland
8883@s.s@Javier Fortuna@s.s@7@s.s@Boxing@s.s@324051@s.s@Javier Fortuna
8846@s.s@Jeff Horn@s.s@7@s.s@Boxing@s.s@324025@s.s@Jeff Horn
9810@s.s@Jessica McCaskill@s.s@7@s.s@Boxing@s.s@324033@s.s@Jessica McCaskill
9044@s.s@Joe Joyce@s.s@7@s.s@Boxing@s.s@324024@s.s@Joe Joyce
8841@s.s@John Riel Casimero@s.s@7@s.s@Boxing@s.s@324041@s.s@John Riel Casimero
8949@s.s@Josh Kelly@s.s@7@s.s@Boxing@s.s@324043@s.s@Josh Kelly
8796@s.s@Josh Taylor@s.s@7@s.s@Boxing@s.s@324021@s.s@Josh Taylor
9738@s.s@Justin DeLoach@s.s@7@s.s@Boxing@s.s@324031@s.s@Justin DeLoach
9807@s.s@Katie Taylor@s.s@7@s.s@Boxing@s.s@324048@s.s@Katie Taylor
8738@s.s@Rose Namajunas@s.s@29@s.s@MMA-UFC@s.s@324143@s.s@Rose Namajunas
8621@s.s@Tony Ferguson@s.s@29@s.s@MMA-UFC@s.s@324121@s.s@Tony Ferguson
8703@s.s@Uriah Hall@s.s@29@s.s@MMA-UFC@s.s@324086@s.s@Uriah Hall
8623@s.s@Valentina Shevchenko@s.s@29@s.s@MMA-UFC@s.s@324116@s.s@Valentina Shevchenko
