2571@s.s@Politics@s.s@0
502@s.s@Aussie Rules@s.s@1
2570@s.s@Greyhounds@s.s@0
54@s.s@E-Sports@s.s@0
348@s.s@Futsal@s.s@0
510@s.s@Bowls@s.s@1
315@s.s@Handball@s.s@0
9@s.s@BasketBall@s.s@0
39@s.s@Rugby Union@s.s@0
324@s.s@Table Tennis@s.s@0
547@s.s@Baseball@s.s@0
337@s.s@Motor Racing@s.s@0
30@s.s@Rugby League@s.s@0
319@s.s@Snooker & Pool@s.s@1
47@s.s@Golf@s.s@0
2657@s.s@Gaelic Hurling@s.s@0
2658@s.s@Gaelic Football@s.s@0
17@s.s@Tennis@s.s@0
312@s.s@Ice Hockey@s.s@0
322@s.s@Volleyball@s.s@1
51@s.s@MMA@s.s@0
363@s.s@World Rally@s.s@0
2567@s.s@Winter sports@s.s@0
2565@s.s@Horse Racing@s.s@0
325@s.s@Cricket@s.s@1
320@s.s@Darts@s.s@1
57@s.s@Formula 1@s.s@0
61@s.s@Cycling@s.s@0
311@s.s@Soccer Aggregates@s.s@0
15@s.s@Football@s.s@0
48@s.s@Boxing@s.s@0
342@s.s@Badminton@s.s@1
7@s.s@Soccer@s.s@0
