38@s.s@Rugby@s.s@0
22@s.s@Tennis@s.s@0
19@s.s@American Football@s.s@0
16@s.s@Basketball@s.s@0
65@s.s@Football@s.s@0
45@s.s@Boxing@s.s@0
18@s.s@Motor@s.s@0
