329@s.s@Volleyball@s.s@1
1516@s.s@Specials@s.s@0
1515@s.s@Politics@s.s@0
512@s.s@Yachting@s.s@1
334@s.s@Gaelic Sports@s.s@1
1646@s.s@Speedway@s.s@0
1644@s.s@Horse Racing@s.s@0
331@s.s@Snooker@s.s@1
336@s.s@Badminton@s.s@1
354@s.s@Beach Volleyball@s.s@1
92@s.s@Football@s.s@0
93@s.s@Basketball@s.s@0
95@s.s@Tennis@s.s@0
96@s.s@Cycling@s.s@0
97@s.s@Rugby League@s.s@0
98@s.s@Esports@s.s@0
100@s.s@Formula 1@s.s@0
101@s.s@Boxing@s.s@0
102@s.s@Rugby Union@s.s@0
327@s.s@Handball@s.s@0
328@s.s@Ice Hockey@s.s@0
1648@s.s@Betway Boosts@s.s@0
355@s.s@Netball@s.s@1
360@s.s@Futsal@s.s@0
330@s.s@Cricket@s.s@1
1677@s.s@Chess@s.s@0
1647@s.s@Greyhounds@s.s@0
1645@s.s@Motor Racing@s.s@0
368@s.s@Motor Sport@s.s@0
1671@s.s@Trotting@s.s@0
1649@s.s@Poker@s.s@0
536@s.s@Test Events@s.s@1
357@s.s@Bowls@s.s@1
367@s.s@Field Hockey@s.s@1
103@s.s@Golf@s.s@0
104@s.s@American Football@s.s@0
399@s.s@Aussie Rules@s.s@1
401@s.s@Water Polo@s.s@1
424@s.s@Pool@s.s@1
332@s.s@Table Tennis@s.s@0
333@s.s@Darts@s.s@1
356@s.s@Baseball@s.s@0
494@s.s@Bandy@s.s@1
99@s.s@UFC / Martial Arts@s.s@0
