412@s.s@Braga@s.s@1@s.s@Football@s.s@594@s.s@Braga
5578@s.s@Piast Gliwice@s.s@1@s.s@Football@s.s@2238@s.s@Piast Gliwice
7462@s.s@Biarritz@s.s@4@s.s@Rugby Union@s.s@4815@s.s@Biarritz Olympique
4743@s.s@Collin Morikawa@s.s@10@s.s@Golf@s.s@11486@s.s@Collin Morikawa
4784@s.s@Viktor Hovland@s.s@10@s.s@Golf@s.s@11487@s.s@Viktor Hovland
4817@s.s@Martin Kaymer@s.s@10@s.s@Golf@s.s@11488@s.s@Martin Kaymer
4755@s.s@Robert MacIntyre@s.s@10@s.s@Golf@s.s@11489@s.s@Robert Macintyre
4725@s.s@Sungjae Im@s.s@10@s.s@Golf@s.s@11490@s.s@Sung-Jae Im
4792@s.s@Matthew Wolff@s.s@10@s.s@Golf@s.s@11491@s.s@Matthew Wolff
4717@s.s@Kevin Na@s.s@10@s.s@Golf@s.s@11492@s.s@Kevin Na
4835@s.s@Matthew Southgate@s.s@10@s.s@Golf@s.s@11493@s.s@Matthew Southgate
4923@s.s@Charl Schwartzel@s.s@10@s.s@Golf@s.s@11494@s.s@Charl Schwartzel
4735@s.s@Victor Perez@s.s@10@s.s@Golf@s.s@11495@s.s@Victor Perez
4765@s.s@Cameron Champ@s.s@10@s.s@Golf@s.s@11496@s.s@Cameron Champ
4778@s.s@Joost Luiten@s.s@10@s.s@Golf@s.s@11497@s.s@Joost Luiten
4791@s.s@Keith Mitchell@s.s@10@s.s@Golf@s.s@11498@s.s@Keith Mitchell
6718@s.s@TEUNISSEN Mike@s.s@9@s.s@Cycling@s.s@13109@s.s@Mike Teunissen
6730@s.s@ŠTYBAR Zdeněk@s.s@9@s.s@Cycling@s.s@13096@s.s@Zdenek Stybar
6802@s.s@MERLIER Tim@s.s@9@s.s@Cycling@s.s@13144@s.s@Tim Merlier
6742@s.s@KÜNG Stefan@s.s@9@s.s@Cycling@s.s@13106@s.s@Stefan Kung
6978@s.s@KRAGH ANDERSEN Søren@s.s@9@s.s@Cycling@s.s@13135@s.s@Soren Kragh Andersen
6758@s.s@COLBRELLI Sonny@s.s@9@s.s@Cycling@s.s@13131@s.s@Sonny Colbrelli
6765@s.s@VANMARCKE Sep@s.s@9@s.s@Cycling@s.s@13097@s.s@Sep Vanmarcke
6950@s.s@LANGEVELD Sebastian@s.s@9@s.s@Cycling@s.s@13136@s.s@Sebastian Langeveld
6902@s.s@ALLEGAERT Piet@s.s@9@s.s@Cycling@s.s@13158@s.s@Piet Allegaert
6953@s.s@DOULL Owain@s.s@9@s.s@Cycling@s.s@13140@s.s@Owain Doull
6706@s.s@NAESEN Oliver@s.s@9@s.s@Cycling@s.s@13098@s.s@Oliver Naesen
6732@s.s@POLITT Nils@s.s@9@s.s@Cycling@s.s@13099@s.s@Nils Politt
6809@s.s@KEUKELEIRE Jens@s.s@9@s.s@Cycling@s.s@13113@s.s@Jens Keukeleire
6995@s.s@DEBUSSCHERE Jens@s.s@9@s.s@Cycling@s.s@13118@s.s@Jens Debusschere
2643@s.s@Marcelo Demoliner@s.s@6@s.s@Tennis@s.s@19966@s.s@Demoliner 
6735@s.s@STUYVEN Jasper@s.s@9@s.s@Cycling@s.s@13102@s.s@Jasper Stuyven
7048@s.s@WALLAYS Jelle@s.s@9@s.s@Cycling@s.s@13145@s.s@Jelle Wallays
6771@s.s@PHILIPSEN Jasper@s.s@9@s.s@Cycling@s.s@13141@s.s@Jasper Philipsen
233@s.s@Gil Vicente@s.s@1@s.s@Football@s.s@2411@s.s@Gil Vicente
235@s.s@Belenenses SAD@s.s@1@s.s@Football@s.s@2412@s.s@Belenenses
6798@s.s@GARCÍA CORTINA Iván@s.s@9@s.s@Cycling@s.s@13134@s.s@Ivan Garcia Cortina
6788@s.s@HOFSTETTER Hugo@s.s@9@s.s@Cycling@s.s@13121@s.s@Hugo Hofstetter
2650@s.s@Andrés Molteni@s.s@6@s.s@Tennis@s.s@19964@s.s@ Molteni
6794@s.s@SÉNÉCHAL Florian@s.s@9@s.s@Cycling@s.s@13103@s.s@Florian Senechal
2669@s.s@David Pel@s.s@6@s.s@Tennis@s.s@19958@s.s@ Pel
6779@s.s@GAVIRIA Fernando@s.s@9@s.s@Cycling@s.s@13138@s.s@Fernando Gaviria
6862@s.s@THEUNS Edward@s.s@9@s.s@Cycling@s.s@13139@s.s@Edward Theuns
6901@s.s@BOASSON HAGEN Edvald@s.s@9@s.s@Cycling@s.s@13110@s.s@Edvald Boasson Hagen
6854@s.s@VAN BAARLE Dylan@s.s@9@s.s@Cycling@s.s@13111@s.s@Dylan Van Baarle
