1606@s.s@FIFA@s.s@0
1586@s.s@Virtual Drag Racing@s.s@1
1633@s.s@Beach Football@s.s@1
1366@s.s@King of Glory (KoG)@s.s@0
1602@s.s@Rugby League@s.s@0
1479@s.s@Warcraft III@s.s@0
1475@s.s@Valorant@s.s@0
1588@s.s@Golf@s.s@0
1699@s.s@Pesapallo@s.s@1
1695@s.s@Aussie Rules@s.s@1
1373@s.s@Volleyball@s.s@0
1814@s.s@Speedway@s.s@1
1818@s.s@Ball Hockey@s.s@1
1560@s.s@Beach Volleyball@s.s@1
1569@s.s@Poker@s.s@1
1541@s.s@Boxing@s.s@0
1385@s.s@League of Legends (LoL)@s.s@0
1384@s.s@Darts@s.s@0
1824@s.s@Pool@s.s@1
1379@s.s@Virtual Football Pro@s.s@0
1364@s.s@Football@s.s@0
1462@s.s@Hearthstone (HS)@s.s@0
1380@s.s@The Penalty Kicks@s.s@0
1367@s.s@3x3 Basketball@s.s@1
1374@s.s@E-Football@s.s@0
1859@s.s@Water Polo@s.s@1
1856@s.s@Netball@s.s@1
1376@s.s@Counter-Strike: GO (CS:GO)@s.s@0
1370@s.s@Snooker@s.s@1
1567@s.s@Basketball Shots@s.s@0
1371@s.s@Tennis@s.s@0
1378@s.s@Badminton@s.s@0
1382@s.s@Virtual Football League@s.s@0
1383@s.s@Cricket@s.s@0
1386@s.s@StarCraft 2 (SC2)@s.s@0
1387@s.s@Futsal@s.s@0
1396@s.s@Rugby Union@s.s@0
1398@s.s@Rainbow Six (R6)@s.s@0
1401@s.s@Warcraft III  (W3:TFT)@s.s@0
1403@s.s@Overwatch@s.s@0
1410@s.s@MMA@s.s@0
1461@s.s@StarCraft (SC)@s.s@0
1466@s.s@Rocket League (Rocket L)@s.s@0
1470@s.s@Handball@s.s@0
1471@s.s@Rainbow Six@s.s@0
1509@s.s@Call of Duty (COD)@s.s@0
1369@s.s@Basketball@s.s@0
1543@s.s@Rocket League@s.s@0
1368@s.s@Ice Hockey@s.s@0
1377@s.s@Dota 2@s.s@0
1365@s.s@Baseball@s.s@0
1372@s.s@Table Tennis@s.s@0
1375@s.s@E-Basketball@s.s@0
1381@s.s@Chess@s.s@1
1394@s.s@Floorball@s.s@1
1464@s.s@What? Where? When?@s.s@0
1689@s.s@Field hockey@s.s@0
