428@s.s@Darts@s.s@1
422@s.s@Tennis@s.s@0
405@s.s@American Football@s.s@0
415@s.s@Mixed Martial Arts@s.s@0
410@s.s@Boxing@s.s@0
431@s.s@Volleyball@s.s@1
420@s.s@Snooker@s.s@1
419@s.s@Sailing@s.s@1
417@s.s@Pool@s.s@1
411@s.s@Chess@s.s@1
429@s.s@Futsal@s.s@0
409@s.s@Bowls@s.s@1
1701@s.s@Pesäpallo@s.s@0
490@s.s@Bandy@s.s@1
517@s.s@Gaelic Football@s.s@1
518@s.s@Gaelic Hurling@s.s@1
1702@s.s@Odds Boost@s.s@0
1821@s.s@Beachvolleyball@s.s@0
416@s.s@Motorbike@s.s@0
525@s.s@Basketball 3x3@s.s@0
418@s.s@Rugby@s.s@0
430@s.s@Ice Hockey@s.s@0
406@s.s@Australian Rules Football@s.s@1
408@s.s@Basketball@s.s@0
496@s.s@Formula 1@s.s@0
423@s.s@Waterpolo@s.s@1
412@s.s@Cycling@s.s@0
427@s.s@Cricket@s.s@1
426@s.s@Badminton@s.s@1
527@s.s@Motorsport@s.s@0
403@s.s@Football@s.s@0
421@s.s@Table Tennis@s.s@0
407@s.s@Baseball@s.s@0
413@s.s@Golf@s.s@0
414@s.s@Handball@s.s@0
