13@s.s@Handicap@s.s@Handicap@s.s@1@s.s@Football@s.s@80392@s.s@1X2 Handicap 0:7
88@s.s@Winning form@s.s@Winning form@s.s@7@s.s@Boxing@s.s@26809@s.s@Método de la Victoria
36@s.s@1st half result@s.s@1st half winner@s.s@2@s.s@Basketball@s.s@6770@s.s@Ganador 1ª Mitad (Sin Empate)
34@s.s@3rd quarter winner@s.s@3rd quarter winner@s.s@2@s.s@Basketball@s.s@6928@s.s@Ganador 3º Cuarto (Sin Empate)
32@s.s@1st quarter winner@s.s@1st quarter winner@s.s@2@s.s@Basketball@s.s@6911@s.s@Ganador 1º Cuarto (Sin Empate)
186@s.s@3rd Quarter Draw No Bet@s.s@3rd Quarter Draw No Bet@s.s@2@s.s@Basketball@s.s@49748@s.s@3º Cuarto ganador (sin empate)
30@s.s@3rd quarter odd/even@s.s@3rd quarter odd/even@s.s@2@s.s@Basketball@s.s@49747@s.s@3º Cuarto total de puntos par/impar
28@s.s@1st quarter odd/even@s.s@1st quarter odd/even@s.s@2@s.s@Basketball@s.s@7301@s.s@Total Puntos Par/Impar 1º Cuarto
29@s.s@2nd quarter odd/even@s.s@2nd quarter odd/even@s.s@2@s.s@Basketball@s.s@7319@s.s@Total Puntos Par/Impar 2º Cuarto
30@s.s@3rd quarter odd/even@s.s@3rd quarter odd/even@s.s@2@s.s@Basketball@s.s@7328@s.s@Total Puntos Par/Impar 3º Cuarto
31@s.s@4th quarter odd/even@s.s@4th quarter odd/even@s.s@2@s.s@Basketball@s.s@8748@s.s@Total Puntos Par/Impar 4º Cuarto (No Incluye Prórroga)
157@s.s@1st half winner@s.s@1st half winner@s.s@38@s.s@Handball@s.s@46792@s.s@1X2 al Descanso 
75@s.s@Set handicap@s.s@Set handicap@s.s@6@s.s@Tennis@s.s@11039@s.s@Handicap por Sets 
167@s.s@3rd Quarter Points@s.s@3rd Quarter Points@s.s@2@s.s@Basketball@s.s@31325@s.s@Total de Puntos 3º Cuarto
168@s.s@4th Quarter Points@s.s@4th Quarter Points@s.s@2@s.s@Basketball@s.s@31321@s.s@Total de Puntos 4º Cuarto (No Incluye Prórroga)
187@s.s@4th Quarter Draw No Bet@s.s@4th Quarter Draw No Bet@s.s@2@s.s@Basketball@s.s@31316@s.s@Ganador 4º Cuarto (Sin Empate) (No Incluye Prórroga)
185@s.s@2nd Quarter Draw No Bet@s.s@2nd Quarter Draw No Bet@s.s@2@s.s@Basketball@s.s@31328@s.s@Ganador 2º Cuarto (Sin Empate)
86@s.s@3-way@s.s@Winner@s.s@7@s.s@Boxing@s.s@26808@s.s@Ganador del Combate
40@s.s@Total points odd/even@s.s@Total points odd/even@s.s@2@s.s@Basketball@s.s@31715@s.s@Total de Puntos Par/Impar (Prórroga Incluida)
27@s.s@2nd half points odd/even@s.s@2nd half points odd/even@s.s@2@s.s@Basketball@s.s@31854@s.s@Total de Puntos 2º Mitad Par/Impar (Prórroga Incluida)
