1613@s.s@Badminton@s.s@0
1609@s.s@Tenis@s.s@0
1608@s.s@Basketball@s.s@0
1621@s.s@ESport Dota@s.s@0
1681@s.s@Futsal@s.s@0
1822@s.s@Voleibol@s.s@0
1823@s.s@Fútbol sala@s.s@0
1637@s.s@Snooker@s.s@1
1607@s.s@Baseball@s.s@0
1593@s.s@Fútbol@s.s@0
1854@s.s@Beach Volley@s.s@0
1610@s.s@League of Legends@s.s@0
1611@s.s@Counter-Strike@s.s@0
4195@s.s@Speedway@s.s@0
1622@s.s@ESport Counter-Strike@s.s@0
1624@s.s@Ice Hockey@s.s@1
1612@s.s@Dota 2@s.s@0
1626@s.s@Hockey sobre hielo@s.s@1
1614@s.s@Darts@s.s@0
1616@s.s@Table tennis@s.s@0
1619@s.s@Soccer@s.s@0
1617@s.s@Tennis@s.s@0
1615@s.s@Rugby@s.s@0
1618@s.s@ESport League of Legends@s.s@0
