1416@s.s@Tennis@s.s@0
1457@s.s@Counter-Strike@s.s@0
1418@s.s@Futsal@s.s@0
1439@s.s@e-Sports@s.s@0
1438@s.s@MMA@s.s@0
1446@s.s@Boxing@s.s@0
1419@s.s@Basketball@s.s@0
1629@s.s@Snooker@s.s@1
1412@s.s@Dota 2@s.s@0
1448@s.s@Handball@s.s@0
1414@s.s@Esport League of Legends@s.s@0
1599@s.s@Aussie Rules@s.s@1
1431@s.s@Darts@s.s@1
1430@s.s@Ice Hockey@s.s@0
1415@s.s@Esport Counter-Strike@s.s@0
1413@s.s@Football@s.s@0
1441@s.s@Entertainment@s.s@0
1440@s.s@Badminton@s.s@1
1447@s.s@Waterpolo@s.s@1
1445@s.s@Rugby@s.s@0
1579@s.s@Cricket@s.s@0
1563@s.s@Motorsport@s.s@0
1428@s.s@Volleyball@s.s@1
1449@s.s@EURO 2020@s.s@0
1429@s.s@Baseball@s.s@0
1572@s.s@Beach Volley@s.s@1
1436@s.s@Cycling@s.s@0
1576@s.s@Biathlon@s.s@1
1458@s.s@League of Legends@s.s@0
1417@s.s@Table Tennis@s.s@0
