378@s.s@Formula 1@s.s@0
375@s.s@Soccer@s.s@0
386@s.s@American Football@s.s@0
385@s.s@Golf@s.s@0
383@s.s@Tennis@s.s@0
382@s.s@Rugby Union@s.s@0
381@s.s@Rugby League@s.s@0
380@s.s@Esports@s.s@0
377@s.s@Basketball@s.s@0
384@s.s@Boxing/mma@s.s@0
379@s.s@Motorbikes@s.s@0
1518@s.s@Cricket@s.s@0
1522@s.s@Indy@s.s@0
1524@s.s@Nascar/cart@s.s@0
1528@s.s@Supercars@s.s@0
1521@s.s@Ice Hockey@s.s@0
1526@s.s@Other Motor Sports@s.s@0
1525@s.s@North America@s.s@0
1523@s.s@Italy@s.s@0
1529@s.s@Sweden@s.s@0
1517@s.s@Badminton@s.s@0
1519@s.s@Cycling@s.s@0
1520@s.s@Darts@s.s@0
1527@s.s@Snooker@s.s@1
1530@s.s@Table Tennis@s.s@0
1532@s.s@United Kingdom@s.s@0
1549@s.s@Touring Cars@s.s@0
1565@s.s@Rally@s.s@0
1547@s.s@Volleyball@s.s@0
1533@s.s@Us Horse Racing@s.s@1
1531@s.s@Trotting@s.s@1
1641@s.s@Baseball@s.s@0
1642@s.s@Handball@s.s@0
1678@s.s@Futsal@s.s@0
1643@s.s@Netball@s.s@0
1534@s.s@World@s.s@0
1640@s.s@Australia@s.s@0
2221@s.s@Nascar@s.s@0
