347@s.s@Futsal@s.s@0
318@s.s@Darts@s.s@1
321@s.s@Volleyball@s.s@1
326@s.s@Cricket@s.s@1
341@s.s@Badminton@s.s@1
314@s.s@Ice Hockey@s.s@0
338@s.s@Motor Racing@s.s@0
316@s.s@Handball@s.s@0
323@s.s@Table Tennis@s.s@0
317@s.s@Snooker & Pool@s.s@1
58@s.s@MMA@s.s@0
313@s.s@Soccer Aggregates@s.s@0
4499@s.s@Speedway@s.s@0
64@s.s@Formula 1@s.s@0
63@s.s@Cycling@s.s@0
1697@s.s@Aussie Rules@s.s@0
60@s.s@E-Sports@s.s@0
55@s.s@Boxing@s.s@0
1703@s.s@Baseball@s.s@0
53@s.s@Golf@s.s@0
43@s.s@Rugby Union@s.s@0
2654@s.s@Gaelic Football@s.s@0
33@s.s@Rugby League@s.s@0
2656@s.s@Gaelic Hurling@s.s@0
10@s.s@BasketBall@s.s@0
14@s.s@Tennis@s.s@0
2580@s.s@Horse Racing@s.s@0
2581@s.s@Greyhounds@s.s@0
2590@s.s@ Apuestas Especiales@s.s@0
8@s.s@Soccer@s.s@0
2607@s.s@Beach Volleyball@s.s@0
13@s.s@Football@s.s@0
